home_zcta,home_county,atl_workers,workforce_share_pct,cumulative_share_pct
30104,"Polk County, GA",2,0.0031,99.5142
30105,"Floyd County, GA",2,0.0031,99.5173
30122,"Cobb County, GA",2,0.0031,99.5204
30139,"Pickens County, GA",2,0.0031,99.5235
30148,"Pickens County, GA",2,0.0031,99.5266
30149,"Floyd County, GA",2,0.0031,99.5297
30175,"Gilmer County, GA",2,0.0031,99.5328
30179,"Haralson County, GA",2,0.0031,99.5359
30223,"Henry County, GA",2,0.0031,99.539
30229,"Coweta County, GA",2,0.0031,99.5421
30248,"Butts County, GA",2,0.0031,99.5452
30263,"Heard County, GA",2,0.0031,99.5483
30272,"Fulton County, GA",2,0.0031,99.5514
