home_zcta,home_county,atl_workers,synthetic_members,zcta_latitude,zcta_longitude,nearest_marta_station,nearest_marta_node_code,distance_to_marta_miles
30504,"Hall County, GA",41,4,34.266502,-83.888646,DORAVILLE STATION,MARTA-DORAVILLE,33.70
31088,"Houston County, GA",41,4,32.586171,-83.655082,AIRPORT STATION,MARTA-AIRPORT,86.04
30506,"Hall County, GA",40,4,34.346938,-83.895627,DORAVILLE STATION,MARTA-DORAVILLE,37.79
30606,"Clarke County, GA",40,4,33.940299,-83.433583,INDIAN CREEK STATION,MARTA-INDIAN-CREEK,47.16
30281,"Rockdale County, GA",39,4,33.556897,-84.195159,INDIAN CREEK STATION,MARTA-INDIAN-CREEK,14.85
30319,"Fulton County, GA",39,4,33.875954,-84.334763,BROOKHAVEN-OGLETHORPE STATION,MARTA-BROOKHAVEN-OGLETHORPE,1.12
30605,"Clarke County, GA",39,4,33.904289,-83.325592,INDIAN CREEK STATION,MARTA-INDIAN-CREEK,52.69
30346,"DeKalb County, GA",38,4,33.924277,-84.338809,DUNWOODY STATION,MARTA-DUNWOODY,0.39
31210,"Bibb County, GA",38,4,32.907633,-83.735052,AIRPORT STATION,MARTA-AIRPORT,65.21
31904,"Muscogee County, GA",37,4,32.554340,-85.009469,AIRPORT STATION,MARTA-AIRPORT,81.83
30324,"DeKalb County, GA",36,4,33.818405,-84.358175,LINDBERGH CENTER STATION,MARTA-LINDBERGH-CENTER,0.73
31419,"Chatham County, GA",36,4,31.984562,-81.236950,INDIAN CREEK STATION,MARTA-INDIAN-CREEK,212.98
30336,"Fulton County, GA",35,4,33.735444,-84.568978,HAMILTON E HOLMES STATION,MARTA-HAMILTON-E-HOLMES,5.86
31204,"Bibb County, GA",35,4,32.848511,-83.674745,AIRPORT STATION,MARTA-AIRPORT,70.58
30079,"DeKalb County, GA",34,3,33.791739,-84.260747,KENSINGTON STATION,MARTA-KENSINGTON,1.41
30107,"Cherokee County, GA",32,3,34.336098,-84.345464,NORTH SPRINGS STATION,MARTA-NORTH-SPRINGS,27.05
30276,"Fayette County, GA",32,3,33.263314,-84.583456,AIRPORT STATION,MARTA-AIRPORT,27.24
31909,"Muscogee County, GA",31,3,32.548807,-84.924106,AIRPORT STATION,MARTA-AIRPORT,80.35
30011,"Barrow County, GA",30,3,34.019859,-83.837163,DORAVILLE STATION,MARTA-DORAVILLE,26.69
30011,"Gwinnett County, GA",30,3,34.019859,-83.837163,DORAVILLE STATION,MARTA-DORAVILLE,26.69
30103,"Bartow County, GA",30,3,34.363242,-84.920192,NORTH SPRINGS STATION,MARTA-NORTH-SPRINGS,43.27
30161,"Floyd County, GA",30,3,34.236230,-85.173993,NORTH SPRINGS STATION,MARTA-NORTH-SPRINGS,50.89
30258,"Pike County, GA",30,3,32.990854,-84.470041,AIRPORT STATION,MARTA-AIRPORT,44.91
30004,"Forsyth County, GA",29,3,34.145635,-84.291881,NORTH SPRINGS STATION,MARTA-NORTH-SPRINGS,14.38
30233,"Henry County, GA",29,3,33.294709,-83.975561,INDIAN CREEK STATION,MARTA-INDIAN-CREEK,35.94
30238,"Fayette County, GA",29,3,33.501846,-84.382236,AIRPORT STATION,MARTA-AIRPORT,10.27
30165,"Floyd County, GA",28,3,34.315788,-85.295122,NORTH SPRINGS STATION,MARTA-NORTH-SPRINGS,59.45
30251,"Meriwether County, GA",28,3,33.198174,-84.698112,AIRPORT STATION,MARTA-AIRPORT,33.84
30549,"Jackson County, GA",28,3,34.107959,-83.577478,DORAVILLE STATION,MARTA-DORAVILLE,42.71
31061,"Baldwin County, GA",28,3,33.059054,-83.226413,INDIAN CREEK STATION,MARTA-INDIAN-CREEK,75.88
